Postal Code,Latitude,Longitude
H1A,45.676787,-73.509836
H2A,45.565481,-73.596238
H3A,45.503706,-73.576872
H4A,45.471749,-73.614135
H5A,45.500074,-73.565398
H7A,45.678837,-73.589461
H9A,45.494074,-73.834645
H1B,45.633741,-73.515061
H2B,45.573317,-73.64806
H3B,45.499922,-73.56895
H4B,45.459975,-73.634259
H5B,45.508115,-73.564586
H7B,45.675216,-73.631884
H9B,45.487817,-73.80826
H1C,45.662442,-73.545178
H2C,45.559951,-73.65588
H3C,45.492776,-73.561427
H4C,45.468792,-73.595602
H7C,45.628692,-73.645691
H9C,45.507407,-73.87682
H1E,45.639299,-73.585731
H2E,45.553597,-73.612706
H3E,45.461568,-73.546387
H4E,45.454601,-73.597369
H7E,45.614502,-73.68089
H9E,45.48244,-73.904648
H1G,45.616148,-73.626227
H2G,45.54103,-73.593287
H3G,45.499528,-73.582545
H4G,45.462547,-73.569315
H7G,45.578741,-73.685042
H9G,45.475321,-73.838826
H1H,45.589385,-73.641927
H2H,45.53832,-73.574758
H3H,45.502659,-73.59568
H4H,45.477405,-73.581517
H7H,45.645016,-73.756926
H9H,45.469097,-73.862368
H1J,45.617799,-73.571522
H2J,45.52941,-73.580033
H3J,45.484806,-73.572818
H4J,45.528783,-73.707584
H7J,45.662812,-73.712976
H9J,45.44859,-73.870976
H1K,45.614136,-73.546769
H2K,45.530248,-73.552711
H3K,45.48031,-73.558729
H4K,45.518113,-73.733874
H7K,45.623485,-73.742625
H9K,45.457465,-73.915696
H1L,45.602458,-73.516762
H2L,45.522237,-73.564147
H3L,45.544751,-73.668126
H4L,45.520714,-73.68557
H7L,45.598484,-73.770603
H1M,45.585588,-73.550237
H2M,45.55274,-73.640002
H3M,45.535868,-73.690076
H4M,45.501996,-73.689846
H7M,45.600221,-73.716048
H1N,45.573001,-73.530806
H2N,45.540285,-73.654019
H3N,45.528634,-73.632408
H4N,45.526921,-73.661873
H7N,45.559122,-73.699887
H8N,45.441258,-73.621887
H1P,45.599086,-73.592618
H2P,45.542006,-73.632915
H3P,45.523313,-73.637199
H4P,45.49478,-73.657274
H7P,45.573487,-73.798557
H8P,45.426089,-73.60073
H9P,45.470884,-73.774753
H1R,45.586641,-73.606675
H2R,45.54021,-73.62057
H3R,45.510829,-73.65124
H4R,45.50381,-73.718843
H7R,45.552063,-73.851032
H8R,45.425291,-73.644623
H9R,45.459302,-73.811506
H1S,45.58299,-73.581982
H2S,45.533049,-73.60469
H3S,45.507219,-73.626596
H4S,45.478849,-73.746775
H7S,45.573442,-73.73164
H8S,45.43957,-73.676279
H9S,45.44591,-73.769312
H1T,45.57135,-73.568692
H2T,45.523211,-73.595396
H3T,45.500514,-73.622145
H4T,45.480609,-73.692344
H7T,45.55916,-73.766763
H8T,45.453881,-73.707948
H1V,45.556969,-73.536919
H2V,45.516067,-73.604587
H3V,45.496477,-73.611166
H4V,45.467127,-73.650095
H7V,45.544864,-73.73497
H1W,45.543596,-73.544839
H2W,45.515148,-73.581732
H3W,45.488503,-73.630871
H4W,45.476961,-73.667707
H7W,45.530626,-73.770011
H9W,45.429004,-73.86901
H1X,45.55706,-73.570428
H2X,45.513301,-73.569412
H3X,45.48048,-73.642257
H4X,45.543784,-73.657917
H7X,45.535981,-73.806922
H9X,45.423591,-73.931874
H1Y,45.54814,-73.575684
H2Y,45.505288,-73.555764
H3Y,45.489334,-73.603607
H4Y,45.458351,-73.755364
H7Y,45.525285,-73.849865
H8Y,45.503867,-73.802291
H1Z,45.566088,-73.615406
H2Z,45.503941,-73.563221
H3Z,45.483085,-73.59393
H4Z,45.501759,-73.562114
H8Z,45.510982,-73.834733
